1;{1,2};{1,2};*
2;{1,2};{1,2};*
3;{3,4};{3,4,5,9,NULL};*
4;{3,4};{3,4,5,9,NULL};*
5;{5,9,NULL};{3,4,5,9,NULL};*
9;{5,9,NULL};{3,4,5,9,NULL};*
INVALID;{5,9,NULL};{3,4,5,9,NULL};*
NULL;{5,9,NULL};{3,4,5,9,NULL};*
