0.0;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
0.02;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
0.03;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
0.04;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
0.6;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
3.0;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
4.0;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
4.7;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
5.0;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
8.0;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
9.0;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
10.0;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
11.0;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
13.0;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
14.6;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
14.65;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
16.0;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
17.0;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
20.0;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
20.1;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
21.0;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
22.0;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
23.0;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
24.0;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
24.15;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
24.85;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
25.0;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
26.0;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
27.05;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
30.0;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
31.0;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
32.0;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
34.0;[0.0, 46.0];[0.0, 192.0];[0.0, 6681.67];*
