0.0;[0, 4.127.511[
22.0;[0, 4.127.511[
23.0;[0, 4.127.511[
44.0;[0, 4.127.511[
46.0;[0, 4.127.511[
66.0;[0, 4.127.511[
69.0;[0, 4.127.511[
88.0;[0, 4.127.511[
92.0;[0, 4.127.511[
100.0;[0, 4.127.511[
110.0;[0, 4.127.511[
115.0;[0, 4.127.511[
154.0;[0, 4.127.511[
161.0;[0, 4.127.511[
180.0;[0, 4.127.511[
184.0;[0, 4.127.511[
200.0;[0, 4.127.511[
280.0;[0, 4.127.511[
300.0;[0, 4.127.511[
320.0;[0, 4.127.511[
340.0;[0, 4.127.511[
341.0;[0, 4.127.511[
343.0;[0, 4.127.511[
400.0;[0, 4.127.511[
500.0;[0, 4.127.511[
620.0;[0, 4.127.511[
640.0;[0, 4.127.511[
678.0;[0, 4.127.511[
682.0;[0, 4.127.511[
686.0;[0, 4.127.511[
700.0;[0, 4.127.511[
730.0;[0, 4.127.511[
738.0;[0, 4.127.511[
746.0;[0, 4.127.511[
800.0;[0, 4.127.511[
806.0;[0, 4.127.511[
868.0;[0, 4.127.511[
874.0;[0, 4.127.511[
960.0;[0, 4.127.511[
962.0;[0, 4.127.511[
1023.0;[0, 4.127.511[
1025.0;[0, 4.127.511[
1050.0;[0, 4.127.511[
1052.0;[0, 4.127.511[
109.32;[0, 4.127.511[
1120.0;[0, 4.127.511[
1200.0;[0, 4.127.511[
1236.0;[0, 4.127.511[
1300.0;[0, 4.127.511[
1325.0;[0, 4.127.511[
1417.5;[0, 4.127.511[
1440.0;[0, 4.127.511[
1460.0;[0, 4.127.511[
1493.0;[0, 4.127.511[
1494.0;[0, 4.127.511[
1538.0;[0, 4.127.511[
1548.0;[0, 4.127.511[
1600.0;[0, 4.127.511[
1661.0;[0, 4.127.511[
1700.0;[0, 4.127.511[
1748.0;[0, 4.127.511[
1757.0;[0, 4.127.511[
1815.0;[0, 4.127.511[
1881.0;[0, 4.127.511[
1882.0;[0, 4.127.511[
1898.0;[0, 4.127.511[
1947.0;[0, 4.127.511[
1966.0;[0, 4.127.511[
2000.0;[0, 4.127.511[
2013.0;[0, 4.127.511[
2050.0;[0, 4.127.511[
2051.0;[0, 4.127.511[
2100.0;[0, 4.127.511[
2101.0;[0, 4.127.511[
2106.0;[0, 4.127.511[
2190.0;[0, 4.127.511[
2200.0;[0, 4.127.511[
2239.0;[0, 4.127.511[
2240.0;[0, 4.127.511[
2241.0;[0, 4.127.511[
2400.0;[0, 4.127.511[
2407.0;[0, 4.127.511[
2412.0;[0, 4.127.511[
2472.0;[0, 4.127.511[
2580.0;[0, 4.127.511[
2600.0;[0, 4.127.511[
2622.0;[0, 4.127.511[
2650.0;[0, 4.127.511[
2720.0;[0, 4.127.511[
2756.0;[0, 4.127.511[
2798.0;[0, 4.127.511[
2800.0;[0, 4.127.511[
2880.0;[0, 4.127.511[
2900.0;[0, 4.127.511[
2920.0;[0, 4.127.511[
2925.0;[0, 4.127.511[
2932.0;[0, 4.127.511[
3075.0;[0, 4.127.511[
3076.0;[0, 4.127.511[
3078.0;[0, 4.127.511[
3100.0;[0, 4.127.511[
3125.0;[0, 4.127.511[
3130.0;[0, 4.127.511[
3150.0;[0, 4.127.511[
3159.0;[0, 4.127.511[
3200.0;[0, 4.127.511[
3206.0;[0, 4.127.511[
3301.0;[0, 4.127.511[
3364.0;[0, 4.127.511[
3420.0;[0, 4.127.511[
3496.0;[0, 4.127.511[
3600.0;[0, 4.127.511[
3630.0;[0, 4.127.511[
3638.0;[0, 4.127.511[
3650.0;[0, 4.127.511[
3708.0;[0, 4.127.511[
3732.0;[0, 4.127.511[
3735.0;[0, 4.127.511[
3750.0;[0, 4.127.511[
3764.0;[0, 4.127.511[
3796.0;[0, 4.127.511[
3800.0;[0, 4.127.511[
3825.0;[0, 4.127.511[
3900.0;[0, 4.127.511[
3915.0;[0, 4.127.511[
3950.0;[0, 4.127.511[
3975.0;[0, 4.127.511[
4000.0;[0, 4.127.511[
4039.0;[0, 4.127.511[
4069.0;[0, 4.127.511[
4100.0;[0, 4.127.511[
4140.0;[0, 4.127.511[
4160.0;[0, 4.127.511[
4175.0;[0, 4.127.511[
4200.0;[0, 4.127.511[
4202.0;[0, 4.127.511[
4354.0;[0, 4.127.511[
4370.0;[0, 4.127.511[
4380.0;[0, 4.127.511[
4398.0;[0, 4.127.511[
4400.0;[0, 4.127.511[
4479.0;[0, 4.127.511[
4480.0;[0, 4.127.511[
4614.0;[0, 4.127.511[
4618.0;[0, 4.127.511[
4638.0;[0, 4.127.511[
4662.0;[0, 4.127.511[
4800.0;[0, 4.127.511[
4932.0;[0, 4.127.511[
4944.0;[0, 4.127.511[
4958.0;[0, 4.127.511[
5000.0;[0, 4.127.511[
5021.0;[0, 4.127.511[
5110.0;[0, 4.127.511[
5125.0;[0, 4.127.511[
5168.0;[0, 4.127.511[
5175.0;[0, 4.127.511[
5200.0;[0, 4.127.511[
5225.0;[0, 4.127.511[
5244.0;[0, 4.127.511[
5285.0;[0, 4.127.511[
5300.0;[0, 4.127.511[
5392.0;[0, 4.127.511[
5440.0;[0, 4.127.511[
5560.0;[0, 4.127.511[
5600.0;[0, 4.127.511[
5640.0;[0, 4.127.511[
5646.0;[0, 4.127.511[
5694.0;[0, 4.127.511[
5800.0;[0, 4.127.511[
5840.0;[0, 4.127.511[
5883.0;[0, 4.127.511[
5898.0;[0, 4.127.511[
5900.0;[0, 4.127.511[
5972.0;[0, 4.127.511[
5979.0;[0, 4.127.511[
6039.0;[0, 4.127.511[
6118.0;[0, 4.127.511[
6120.0;[0, 4.127.511[
6122.0;[0, 4.127.511[
