Dataset: TEXAS_CRAFTED
Anonymization Method: 2-Anonymity
ASupression Limit: 1.0
Feature Type: ENSEMBLE
Classifier Type: RF
Number of Targets: 50
Target Type: IMPORT
Number of Tests: 25
Number of Trainings: 10
Sample size: 1000
Adversary population size: 10000


TargetId;Distance;Accuracy
40576;0.008414615817923616;0.5
23554;0.01054987873661482;0.5
36739;0.007426606966043185;0.5
17542;0.010821111510309199;0.5
31500;0.009657293108905578;0.5
9997;0.006457343648069657;0.5
44429;0.008203779034204663;0.5
22157;0.05554043357880256;0.5
19599;0.004389162691525618;0.5
783;0.009574248094444212;0.5
35988;0.003801796492148038;0.5
21013;0.010726969209048887;0.5
46998;0.03801967498363269;0.5
22423;0.00876346788740986;0.5
49561;0.011272661546241671;0.5
12441;0.009795563628794864;0.5
29977;0.0029704603559329934;0.5
28702;0.01119903736853556;0.5
23841;0.011070474236168793;0.5
4130;0.002337538893111364;0.5
37540;0.003560963894309937;0.5
48422;0.01023699756829123;0.5
15147;0.003930336420971877;0.5
44331;0.011132473343200647;0.5
32043;0.00879767786152556;0.5
19630;0.011337039050605537;0.5
33715;0.12214588649310408;0.5
19509;0.009449648547343531;0.5
40248;0.007652852020712012;0.5
13372;0.006204102476532037;0.52
44733;0.023998319240982415;0.52
42302;0.002014967805511777;0.52
15814;0.004084349175661805;0.5
35018;0.004533788662181496;0.5
41805;0.011138194177632212;0.5
35406;0.011412516220258033;0.5
4436;0.005675132951475759;0.5
10462;0.011589641359902125;0.5
14817;0.0077995022883097335;0.5
5730;0.009646098456780099;0.5
40933;0.005761241156248542;0.5
16743;0.004488810321934929;0.5
41834;0.011136727731910094;0.5
40304;0.028295226919924494;0.5
49394;8.683897930280006E-4;0.5
29426;0.011491443541598695;0.5
17395;0.004726986408300462;0.52
4855;0.008735629566151358;0.5
43640;0.0022861744555262398;0.5
31871;9.572377325515398E-4;0.5
