TestRun;TargetId;TrueLabel;PredictedLabel;PredictionProbability
2;33715;1;0;0.4918755502761423
2;15814;1;0;0.4867300124032169
2;21013;1;0;0.47571729222217496
2;44733;1;0;0.481304382644941
2;16743;0;0;0.5195219725716855
2;40304;1;0;0.4651441019434665
2;9997;1;0;0.5002475223044582
2;19630;0;0;0.5118041415913248
2;35018;0;0;0.5029511619852312
2;16743;1;0;0.5195219725716855
2;40933;0;0;0.4992654336271553
2;19599;0;0;0.49619594815877827
2;12441;1;0;0.5240773101607393
2;42302;0;0;0.498341726270025
2;19630;1;0;0.501691808991915
2;23841;0;0;0.5133219114439188
2;37540;0;0;0.5508785428621883
2;46998;1;0;0.5529596816521025
2;14817;1;0;0.5162276866387889
2;31500;1;0;0.5039013316308488
2;13372;1;0;0.5076540532807577
2;19509;0;0;0.4235649142895062
2;22157;0;0;0.4974055685500728
2;5730;0;0;0.5045557423126602
2;22157;1;0;0.4974055685500728
2;40933;1;0;0.4992654336271553
2;49394;0;0;0.503817352986143
2;783;0;0;0.5226954208387619
2;37540;1;0;0.5060996415710394
2;4436;0;0;0.5302843239320584
2;14817;0;0;0.5162276866387889
2;29426;1;1;0.5388237601200301
2;36739;0;0;0.525836749557766
2;48422;1;0;0.514316363348464
2;19509;1;0;0.4235649142895062
2;41805;0;0;0.5282557899176148
2;29426;0;1;0.5328183205256016
2;12441;0;0;0.5240773101607393
2;44331;1;0;0.5137692191408352
2;13372;0;0;0.5076540532807577
2;4855;0;0;0.480483710522022
2;49561;1;0;0.4989383744642049
2;49394;1;0;0.503817352986143
2;4855;1;0;0.480483710522022
2;29977;0;0;0.49816941731091197
2;31871;1;0;0.5081086505967021
2;17542;0;0;0.4687155127608253
2;31500;0;0;0.5255282317855546
2;41834;0;0;0.48046479221715804
2;48422;0;0;0.4802772931107899
2;44733;0;0;0.5000365815308702
2;29977;1;0;0.49816941731091197
2;35406;0;0;0.5275441209936705
2;32043;1;0;0.4502140247511552
2;31871;0;0;0.5081086505967021
2;10462;1;0;0.51591677675819
2;35988;0;0;0.5098655763051924
2;4436;1;0;0.5399782850959328
2;49561;0;0;0.4989383744642049
2;41805;1;0;0.523025406118402
2;40248;0;0;0.523310478410482
2;40248;1;0;0.5145006875159602
2;43640;0;0;0.48215707841302724
2;17395;0;0;0.47226417700647494
2;28702;1;0;0.5055598067514923
2;783;1;0;0.5216218785848897
2;15147;0;0;0.5045990837163213
2;41834;1;0;0.47733374280886615
2;17395;1;0;0.47226417700647494
2;40576;0;0;0.4809916706222004
2;23554;1;0;0.5552422764620867
2;36739;1;0;0.5107035986015316
2;43640;1;0;0.5128500113255307
2;23554;0;0;0.5537919261266714
2;17542;1;0;0.45197659174088545
2;42302;1;0;0.498341726270025
2;19599;1;0;0.49619594815877827
2;28702;0;0;0.5207911474470149
2;32043;0;0;0.45224636065379514
2;22423;1;0;0.5269024664702568
2;23841;1;0;0.5128740128913639
2;35406;1;0;0.5362219488081229
2;40576;1;0;0.4809916706222004
2;21013;0;0;0.4758751778393791
2;4130;1;0;0.5329093226992528
2;46998;0;0;0.5529596816521025
2;44331;0;0;0.49907623269272383
2;10462;0;0;0.51591677675819
2;44429;0;0;0.5300953359228214
2;22423;0;0;0.5269024664702568
2;5730;1;0;0.49235230506788724
2;15147;1;0;0.4908745398077393
2;33715;0;0;0.4918755502761423
2;40304;0;0;0.4651441019434665
2;15814;0;0;0.4867300124032169
2;4130;0;0;0.5329093226992528
2;9997;0;0;0.5002475223044582
2;35988;1;0;0.5080754938584089
2;35018;1;0;0.5029511619852312
2;44429;1;0;0.5300953359228214
