Dataset: TEXAS
Anonymization Method: Pitman01
ASupression Limit: 0.0
Feature Type: ENSEMBLE
Classifier Type: RF
Number of Targets: 50
Target Type: OUTLIER
Number of Tests: 25
Number of Trainings: 10
Sample size: 1000
Adversary population size: 10000


TargetId;Distance;Accuracy
38912;0.31393561152113864;0.52
27137;0.644943458572841;0.7
13827;0.28722410705124185;0.52
27781;0.36934017694504423;0.54
20357;0.32892128668559234;0.56
14086;0.9360582050559753;1.0
47239;0.37946288076842044;0.52
36232;0.5617667676600505;0.64
26380;0.4717299615121115;0.8
16269;0.335306084377544;0.56
40590;0.2971550520825949;0.94
12048;0.4072192998371846;0.54
3472;0.36840538677377915;0.6
32784;0.27941054017807904;0.52
13588;0.3105762256149582;0.52
21143;0.38431019361869334;0.58
37530;0.357626166002457;0.6
27036;0.39252715219666434;0.58
28704;0.4591645041924745;0.64
16417;0.30450106931129944;0.52
45090;0.914025073776776;0.94
27428;0.37692214734379065;0.96
31655;0.37756331015129085;0.62
32679;0.3267016026836715;0.54
20012;0.28876944790762327;0.54
11568;0.29918849771587674;0.52
38324;0.31226889442214206;0.5
36916;0.2970502178439263;0.54
6713;0.3488586172059554;0.98
39609;0.32361492156126215;0.5
48315;0.805430134617418;0.86
39868;0.42375346469949604;0.68
41664;0.5150809604965846;0.76
42562;0.604950742205999;0.74
41800;0.7663528572764959;0.94
19401;0.5611562618001164;0.84
27596;0.8025405599953602;0.78
13646;0.7230312309665339;0.7
29265;1.0;0.88
13907;0.5158353754103344;0.76
31834;0.37356396095861033;0.52
42588;0.4297434342986099;0.58
40930;0.2774676801695187;0.84
26213;0.3375971850690989;0.66
6249;0.3102597961854848;0.88
38890;0.3989328608230543;0.58
36082;0.4152631015207531;0.62
27379;0.29233528538144676;0.56
30709;0.28062409974783;0.88
34431;0.3322333311940071;0.58
