0.0;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
0.02;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
0.03;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
0.04;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
0.6;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
3.0;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
4.0;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
4.7;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
5.0;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
8.0;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
9.0;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
10.0;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
11.0;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
13.0;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
14.6;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
14.65;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
16.0;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
17.0;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
20.0;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
20.1;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
21.0;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
23.0;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
24.0;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
24.15;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
24.85;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
25.0;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
26.0;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
27.05;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
30.0;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
31.0;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
32.0;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
34.0;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
35.0;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
38.0;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
39.0;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
40.0;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
42.0;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
45.0;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
48.0;[0.0, 48.0];[0.0, 179.0];[0.0, 6668.39];*
50.0;[50.0, 112.0];[0.0, 179.0];[0.0, 6668.39];*
51.0;[50.0, 112.0];[0.0, 179.0];[0.0, 6668.39];*
53.0;[50.0, 112.0];[0.0, 179.0];[0.0, 6668.39];*
54.0;[50.0, 112.0];[0.0, 179.0];[0.0, 6668.39];*
56.0;[50.0, 112.0];[0.0, 179.0];[0.0, 6668.39];*
56.2;[50.0, 112.0];[0.0, 179.0];[0.0, 6668.39];*
58.5;[50.0, 112.0];[0.0, 179.0];[0.0, 6668.39];*
59.0;[50.0, 112.0];[0.0, 179.0];[0.0, 6668.39];*
