Dataset: TEXAS
Anonymization Method: Identity
ASupression Limit: 0.0
Feature Type: ENSEMBLE
Classifier Type: RF
Number of Targets: 50
Target Type: RANDOM
Number of Tests: 25
Number of Trainings: 10
Sample size: 1000
Adversary population size: 10000


TargetId;Distance;Accuracy
40576;0.0023884430627320852;0.5
23554;0.11554986718358509;0.5
36739;0.053709695245207696;0.5
17542;0.010871167590399555;0.5
31500;0.006853327884286023;0.5
9997;0.00671441028466751;0.58
44429;0.006020178913830639;0.5
22157;0.008010268345855494;0.5
19599;0.011448742503848842;0.5
783;0.006753441592059823;0.5
35988;0.0010655754447112795;0.5
21013;0.00562720784799362;0.5
46998;0.03511364583320162;0.52
22423;0.009423720389804281;0.5
49561;0.01204895062171988;0.52
12441;0.009857701931403853;0.5
29977;0.0015786827302664637;0.5
28702;0.010375254277098187;0.5
23841;0.005884510528858039;0.5
4130;0.004981527063284367;0.5
37540;0.009286878588309573;0.64
48422;0.03136038460098541;0.5
15147;0.0016906362406432795;0.5
44331;0.003216830176083731;0.5
32043;0.002738544128140665;0.5
19630;0.002110053387042347;0.5
33715;5.427747142478147E-4;0.52
19509;0.009365585935917766;0.5
40248;0.00788893944247996;0.52
13372;0.03544483119848055;0.52
44733;0.00896978538668949;0.48
42302;0.019343356872204866;0.5
15814;0.004742725978192442;0.58
35018;0.010172166743912508;0.5
41805;0.007157615546622965;0.5
35406;0.0014845952806283066;0.48
4436;0.008218023362177139;0.5
10462;0.009784652145114444;0.5
14817;0.009740175843484501;0.5
5730;0.011122185695306775;0.5
40933;0.009565425513518576;0.5
16743;0.008084079962924344;0.5
41834;0.010722743311573229;0.5
40304;0.008310464598828204;0.54
49394;0.03375699504114479;0.5
29426;0.01167602658711435;0.5
17395;0.042272386623632925;0.5
4855;0.011507062310307153;0.5
43640;0.008110907897745233;0.52
31871;0.012140986887273457;0.5
